70502,83407,63974,147883,101204,
69778,80643,58104,131759,159642,
63283,80879,57648,95649,91475,
63693,80563,60986,67257,196926,
65649,80428,58253,74773,71374,
64561,125248,58333,69532,89938,
1459624,182087,60510,77740,51599,
68537,144525,58715,69557,79855,
65274,142975,60471,74618,51349,
60964,109506,55770,62068,78872,
59779,48795,66384,145440,51340,
62363,52226,60028,66915,78233,
59357,53488,58205,142086,51222,
61677,56597,56982,71467,87367,
62360,60559,59474,193702,51212,
63566,61483,56279,113840,78851,
61837,58821,59248,127436,51295,
62620,22789,61274,67990,77893,
64566,5680032,57071,112220,51185,
63875,24061,58518,73158,77929,
64825,22277,58710,105909,51213,
63925,21459,72889,78867,77898,
61960,24282,59175,72174,51194,
64356,21230,58823,109034,77860,
66072,21173,59212,66170,51251,
79761,20996,60444,145126,78136,
63217,43946,56606,71794,51274,
64040,32402,55394,154223,78072,
62818,32893,59597,76127,51189,
65728,33869,55606,124123,78676,
66045,34616,55484,74360,51201,
64358,34376,55255,118682,78056,
59894,32720,50246,76728,51418,
54599,34383,50338,88636,78417,
57172,35810,43760,71540,51288,
54227,32515,52389,70426,118401,
53817,34907,55692,115764,76534,
56953,35176,108805,71193,130936,
57802,37576,54637,147773,84110,
60050,36109,54535,71577,140301,
61557,36602,58450,140492,82944,
60394,35536,58274,75297,144615,
58276,39684,56512,122380,91227,
64384,37963,56220,74882,147579,
62573,35807,55967,118797,95051,
65219,37746,59866,68997,161970,
90206,40749,57809,103737,91454,
65134,37539,59620,69403,154072,
61198,36088,58533,72825,12745,
62920,38239,52967,115953,10940,
